question,answer
《鬼滅之刃》中鬼所厭惡的花是,紫藤花
《陰陽師‧平安物語》第二季其片尾曲叫做,真夏繪卷
「博士」作為官名最早出現在,秦
「不惑之年」指的是多少歲,40
「沉魚落雁，閉月羞花」中「閉月」指,貂蟬
「打蛇打七吋的「七吋」是指哪個部位,心臟
「荳蔻年華」指幾歲,13歲
「狐影·守」吸收傷害總量與白藏主的哪個屬性有關,生命上限
「麻婆豆腐」是哪一菜系的名菜,川菜
「耄耋之年」指的是幾歲,80-90歲
「冥界的引路人」指的是,鬼使黑和鬼使白
「七月流火」形容的是,天氣漸漸轉涼
「輕於鴻毛」中的鴻毛是哪一種動物的毛,大雁
「入木三分」這個成語原本是用來形容什麼的,書法
「三更半夜」中的「三更」指的是幾點,23點至凌晨1點
「天書·攻心」的間接傷害上限與書翁的哪個屬性有關,生命
「陽春白雪」和「下里巴人」這兩個成語最初指的是,樂曲
「最終選拔」的合格條件是在藤襲山中存活幾天,七天
9級的經驗酒壺每次可以儲存多少溢出經驗,80000
9級的體力食盒可以儲存多少溢出體力,250
R階式神返魂可以獲得多少御札,5
R階式神可以透過多少個對應的式神碎片召喚獲得,30
SP階式神返魂可以獲得多少御札,750
SP階式神可以透過幾個對應的式神碎片召喚獲得,60
SR階式神可以透過多少個對應的式神碎片召喚獲得,40
SSR式神可以透過多少個對應的式神碎片召喚獲得,50
SSR式神兩面佛的獲取方式是,碎片合成
阿修羅「理性」印記的獲得上限是,9
八百比丘尼挾持了誰來要求晴明解除八岐大蛇的封印,神樂
八百比丘尼與晴明第一次見面的地點是,鳳凰林
八岐大蛇的「不潔之力」能提升友方目標的哪一種能力,速度
八岐大蛇可使用哪一個技能取代陰陽師,八岐之影
白狼進入冥想狀態後，下次行動會增加自身的哪一種屬性,暴擊傷害
白狼擅長的是,弓箭
白童子最好的朋友是,黑童子
百鬼夜行中，非鬼王R級式神每次可以提供多少碎片,3片
百鬼夜行中，非鬼王SR級式神每次可以提供多少碎片,2片
百鬼夜行中，非鬼王SSR級式神每次可以提供多少碎片,1片
百鬼夜行中，非鬼王呱類式神每次可以提供多少碎片,1片
百鬼夜行中，每位陰陽師每天最多被邀請多少次,3
百鬼弈玩的入口在哪裡,町中
幫助幾位後輩完成「獨當一面」任務後，可以獲得譽滿京都頭像框,5
被椒圖的技能「涓流」連結的式神，每次行動後恢復椒圖百分之多少的生命值,0.05
彼岸花的花海會在什麼時機造成傷害,敵方回合開始時
兵俑施放「堅不可破」的效果是,其餘選項皆對
博雅與晴明第一次見面的地點是,黑夜山
在不存在任何扣除鬼火上限的情況下，鬼火的上限數是,8
不帶任何禦魂的稻荷神禦饌津不能附加,變形效果
不考慮禦魂與技能，鬥技戰鬥開始時的鬼火數是,4
不攜帶任何禦魂的百目鬼能附加哪一種控制效果,其餘選項皆不對
不攜帶任何禦魂的兵俑能附加哪一種控制效果,嘲諷
不攜帶任何禦魂的稻荷神禦饌津不能附加哪一種效果,變形
不攜帶任何禦魂的鳳凰火能附加哪種控制效果,眩暈
不攜帶任何禦魂的輝夜姬普攻會機率觸發什麼效果,削減敵方目標鬼火
不攜帶任何禦魂的狸貓能附加哪一種防治效果,挑釁
不攜帶任何禦魂的鐮鼬能附加哪一種控制效果,眩暈
不攜帶任何禦魂的麓銘大岳丸能附加哪種控制效果,眩暈
不攜帶任何禦魂的孟婆能附加哪種控制效果,沉默
不攜帶任何禦魂的食夢貘能附加哪種控制效果,沉睡
不攜帶任何禦魂的小松丸能附加哪一種控制效果,變形
不攜帶任何禦魂的星熊童子能附加哪種控制效果,混亂
不攜帶任何禦魂的雪童子能附加哪種控制效果,冰凍
不攜帶任何禦魂的閻魔能附加哪一種控制效果,沉默
不攜帶任何禦魂的御饌津不能附加哪一種效果,變形
不在同一個陰陽寮的好友間滿足什麼條件才可以贈送SSR碎片,親友關係達到永遠的羈絆
不知火星火結界存在回合數是,2
不知火星火結界下的額外普攻，以下哪種描述是的,其餘選項皆對
蒼風一目連的「風盾」護盾值與自身的哪個屬性相關,攻擊
查看番外的入口是,平安百物語
蟬冰雪女施放「永冬」技能會為目標附加下列哪一種狀態,霜凍
成功躲過灶門炭治郎頭槌的是,宇髓天元
成就點數達到多少後可以指導後輩,2500
寵物後院中，透過寵物食糧吸引來已變成寵物的小動物會獎勵什麼,萌爪錢幣
籌備陰陽寮宴會料理需要消耗下列哪一種材料,陰陽寮勳章
出現在下弦之壹魘夢為我妻善逸製造夢境的是,灶門祢豆子
初次見到灶門祢豆子是我妻善逸怎樣看待祢豆子,她好可愛
除了哪一項，其他都是每日簽到可能獲得的獎勵,新式神
穿著僧袍的鼠妖指的是,鐵鼠
傳記中，彼岸花呱在閻魔呱偷偷歸還衣服的時候為她準備了什麼,傷損藥膏
傳記中，盜墓小鬼對墓穴裡的什麼東西有興趣,故事
傳記中，餓鬼的姊姊每天吃什麼,樹根
傳記中，餓鬼每天吃什麼,地瓜
傳記中，海坊主為何要打劫並威脅漁夫們,保護漁夫
傳記中，荒川呱遇到荒川之主後做了什麼,跪地求饒
傳記中，絡新婦是被什麼東西蠶食肉體，而後化為妖怪的,毒蜘蛛
傳記中，面靈氣的七個面具裡，蘊含著什麼,七種情緒
傳記中，青行燈呱為了模仿青行燈腦洞了哪些故事,其餘選項皆對
傳記中，青行燈呱在給輝夜姬呱說起怪談故事的時候會發生什麼事,自己先睡著了
傳記中，三尾狐在櫻花樹下初遇並仰慕的人是,巫女大人
傳記中，山童的綠子姊姊被哪種妖怪抓走了,河童
傳記中，誰將兩面佛封印了百餘年,晴明
傳記中，誰為了拯救二口女犧牲了自己,老僧侶
傳記中，誰與入殮師和一反木綿建立了深厚的情誼,織雪
傳記中，是誰欺負鐵鼠搶走了它的輪子,九命貓
傳記中，天才棋師弈在最後一場棋局中，同時與多少人對弈,十人
傳記中，天才棋師弈最後輸給了誰,戀人
傳記中，跳跳妹妹是如何稱呼妖狐的,叔叔
傳記中，巫蠱師對誰有著特別的執念,蝴蝶精
傳記中，武士之靈生前被誰所擊殺,茨木童子
傳記中，小鹿男呱草人臉上的貼紙是誰畫的,玉藻前
傳記中，小袖之手一直在等待誰回來,弟弟
傳記中，閻魔呱為了變美偷穿了誰的衣服,彼岸花呱
傳記中，妖刀姬呱參加試膽大會被誰騙走了錢財,鐵鼠
傳記中，妖琴師為誰而奏曲,蟲
傳記中，一目連失去的眼睛是哪隻,右眼
傳記中，一目連為抵抗洪水而失去了什麼,眼睛
傳記中，捉弄大天狗呱，讓他往兩頰上抹淤泥的是,輝夜姬呱
茨木呱的妹妹是誰,輝夜姬呱
茨木童子的手臂是被哪把刀砍斷的,鬼切
茨木童子的摯友是誰,酒吞童子
茨木童子失去的是哪隻手,右手
大天狗呱的扇子上寫著什麼字,呱
大岳丸施放的無盡劍獄會在什麼時機關閉,大岳丸的下一輪結束
待宵姑獲鳥可為隊友附加「羽念」印記的層數上限是,5
單人挑戰巫女大蛇·悲鳴時，需要消耗多少體力,12點
單人挑戰禦魂或覺醒副本的一到十層，需要消耗多少體力,6點
當夜溟彼岸花處於「沉眠」狀態中，會有下列哪一種效果,其餘選項皆對
地震鯰的主人是誰,禦饌津
地震鯰所說的冒牌貨是指誰,追月神
地震鯰在什麼地區附近出現,稻荷神社
低鹽飲食有利於預防什麼疾病,高血壓
敵方被百目鬼附加凝視狀態後，主動技能會被替換為下列哪一個技能,邪光
動物中視角最大的是,魚
獨眼小僧背著的石僧是他的誰,師父
獨眼小僧是什麼化成的妖怪,木魚
對於鬼童丸附加「骸之鎖」的目標，下列哪一種說法是的,無法受到改變行動條的效果
兌換語音表情需要以下哪些道具,其餘選項皆對
多少個中級覺醒材料可以合成一個高級覺醒材料,8
墮姬的本名是,梅
墮姬的武器是,腰帶
餓鬼在化成妖怪前，和誰相依為命,姐姐
坊間傳說，荒川之主的性格是,暴烈性躁
非酋系列成就的獎勵包含,其餘選項皆對
粉紅色頭髮的毒舌女孩指的是,覺
風姿度達到多少可以解鎖「風姿·鑾華扇」,8000
風姿度達到多少可以解鎖「風姿·神霖羽」,12000
奉為達摩的眼睛是怎樣的,都是黑色
縛骨清姬的蛇靈會對帶有哪一種狀態的目標進行攻擊,怨
鋼的主要成分是,鐵、碳
鋼琴一音節有幾個黑鍵,5個
工筆是哪種繪畫形式的技法,國畫
古代六藝「禮、樂、射、禦、書、數」中的「禦」是指,駕車
鬼火行動條的格數是,5
鬼火行動條第二次推進5格時，獲得的鬼火數是,4
鬼火行動條第三次推進到5格時，獲得的鬼火數是,5
鬼火行動條首次推進5格時，獲得的鬼火數是,3
鬼滅中：夢魘如何避免強制昏睡進入夢境,避免對視
鬼女紅葉鍾情於誰,晴明
鬼切攻擊後，最多會追加多少次對敵方全體的斬擊,1
鬼童丸獲得幾層狂時會進入修羅狀態,3
鬼童丸在修羅狀態下，總共能施放幾次「獵魂狂殺」,3
鬼王酒吞童子施放「天火怒焱」不包含下列哪一種效果,提升速度
鬼舞社無慘讓猗窩座找的東西是,藍色彼岸花
好友結界寄養時長為,6小時
合成SR式神需要多少碎片,40
河童在遊戲與現世中都有著類似的形象，它的身體特徵是,其餘選項皆對
黑晴明的式神是,大天狗和雪女
黑童子唯一的朋友是,白童子
紅茶屬於什麼茶,全發酵茶
狐影·守吸收傷害總量與白藏主的哪個屬性有關,生命上限
花鳥卷呱憧憬的對像是誰,花鳥卷
花鳥卷呱為了模仿花鳥卷，引起誰的不滿,妖刀姬呱
花鳥卷是什麼化成的妖怪,畫卷
化鯨的齒甲觸發的真實傷害上限與攜帶者的哪個屬性有關,攻擊
化鯨的體甲的攜帶者，在行動前治療生命與化鯨的哪個屬性有關,生命上限
荒川中最強大的妖怪是,荒川之主
荒的技能星辰之境所觸發的幻境附帶以下哪一個效果,荒的協戰
荒骷髏的主人是誰,彼岸花
荒骷髏在什麼地區附近出現,三途川
荒作為神的使者，最初降臨在哪裡,海邊的村莊
黃河最終注入哪海,渤海
輝夜姬的幻境是由哪個技能創造的,龍首之玉
輝夜姬的技能龍首之玉所觸發的幻境沒有以下哪一個效果,生命值增加
輝夜姬的普攻技能叫做,蓬萊玉枝
輝夜姬的坐騎是什麼,竹子
會長離線時間超過幾天，陰陽寮成員可以選擇罷免會長,7天
繪卷中，蟲師苦苦追尋的那位大人是,一目連
繪卷中，歌姬不知火在哪裡長大成人,離島
繪卷中，鬼切替誰擋下了酒吞童子致命的一擊,源賴光
繪卷中，鬼切原本的身份是,大江山的妖怪
繪卷中，鬼童丸曾經的老師是,賀茂忠行
繪卷中，教導鈴鹿御前理解「義理」的力量的是,田村
繪卷中，面靈氣的面具是由誰製作而成的,秦川勝
繪卷中，面靈氣的哪個面具與她親如雙生子,小面
繪卷中，面靈氣的新朋友叫做,嬰兒面
繪卷中，山風被誰的毒爪所抓傷,狼妖
繪卷中，山風吃掉了身為人類的,薰
繪卷中，誰曾經以女裝的身份登場出現在羅生門附近,茨木童子
"繪卷中,誰是守護永生之海的鮫人公主",千姬
繪卷中，誰是守護永生之海的鮫人公主,千姬
繪卷中，誰是玉藻前的孩子,羽衣/愛花
繪卷中，誰為戰爭而流離失所的人和妖提供了庇護,姑獲鳥
繪卷中，是誰教唆面靈氣捨棄一切的,狐狸面
繪卷中，雪童子的本體是,掛上玉藻前佩刀的雪人
繪卷中，尋找大妖的賀茂義心稱不知火為,阿離
